timestamp,player_1_id,player_2_id,score_1,score_2,discipline,context
2023-10-07 16:37:00,beni,mario,7,5,EIGHT_BALL,Liga
2023-10-07 16:47:00,bob,alf,7,6,EIGHT_BALL,Liga
2023-10-07 17:52:00,alf,mario,2,7,EIGHT_BALL,Liga
2023-10-07 20:40:00,lionel,alf,7,5,EIGHT_BALL,Liga
2023-10-15 18:34:00,lionel,beni,5,7,EIGHT_BALL,Liga
2023-10-16 20:12:00,lionel,mario,3,7,EIGHT_BALL,Liga
2023-10-16 20:12:00,stefan,mario,3,7,EIGHT_BALL,Liga
2023-10-16 20:32:00,sinas,beat,5,3,EIGHT_BALL,Liga
2023-10-16 22:21:00,bob,lionel,6,7,EIGHT_BALL,Liga
2023-10-18 23:31:00,lionel,stefan,6,7,EIGHT_BALL,Liga
2023-10-19 22:02:00,alf,stefan,3,7,EIGHT_BALL,Liga
2023-10-21 17:05:00,simon,beat,5,2,EIGHT_BALL,Liga
2023-10-21 17:21:00,mike,sinas,2,5,EIGHT_BALL,Liga
2023-10-21 17:50:00,bob,beni,2,7,EIGHT_BALL,Liga
2023-10-21 18:37:00,reto,sinas,5,2,EIGHT_BALL,Liga
2023-10-21 20:41:00,reto,simon,4,5,EIGHT_BALL,Liga
2023-10-23 20:56:00,daniel_a,simon,0,5,EIGHT_BALL,Liga
2023-10-23 21:08:00,daniel_a,beat,5,3,EIGHT_BALL,Liga
2023-10-26 20:00:00,daniel_a,sinas,1,5,EIGHT_BALL,Liga
2023-10-27 21:02:00,daniel_a,reto,0,5,EIGHT_BALL,Liga
2023-10-28 16:22:00,mike,simon,1,5,EIGHT_BALL,Liga
2023-10-28 17:13:00,reto,mike,5,4,EIGHT_BALL,Liga
2023-10-30 20:20:00,simon,sinas,5,2,EIGHT_BALL,Liga
2023-10-30 22:11:00,bob,stefan,3,7,EIGHT_BALL,Liga
2023-10-31 22:02:00,beni,stefan,3,7,EIGHT_BALL,Liga
2023-11-04 17:20:00,bob,mike,5,2,NINE_BALL,Liga
2023-11-06 19:12:00,dmitrijs,beat,3,5,NINE_BALL,Liga
2023-11-06 19:45:00,daniel_a,dmitrijs,5,1,NINE_BALL,Liga
2023-11-06 21:26:00,daniel_a,beat,4,5,NINE_BALL,Liga
2023-11-09 19:03:00,dmitrijs,daniel_a,5,0,NINE_BALL,Liga
2023-11-09 22:32:00,karol,alf,5,3,NINE_BALL,Liga
2023-11-11 15:17:00,beat,justas,3,5,NINE_BALL,Liga
2023-11-11 16:17:00,martha,beat,2,5,NINE_BALL,Liga
2023-11-12 21:04:00,bob,sinas,4,5,NINE_BALL,Liga
2023-11-12 22:25:00,karol,mike,5,1,NINE_BALL,Liga
2023-11-13 22:23:00,daniel_a,beat,1,5,NINE_BALL,Liga
2023-11-15 15:22:00,alf,mike,5,2,NINE_BALL,Liga
2023-11-15 21:40:00,lionel,beni,4,9,NINE_BALL,Liga
2023-11-17 20:31:00,mario,beni,8,9,NINE_BALL,Liga
2023-11-18 16:46:00,alf,bob,5,4,NINE_BALL,Liga
2023-11-18 17:34:00,sinas,alf,5,1,NINE_BALL,Liga
2023-11-20 20:44:00,beni,simon,9,2,NINE_BALL,Liga
